symbol,entryDate,entryPrice,stopLoss,target,direction,exitDate,exitPrice,holdingPeriod,percentPL
SPY,2006-05-15,129.5,0.0,0.0,SHORT,2006-05-30,126.1,10,2.63
SPY,2006-08-04,128.2,0.0,1282.0,LONG,2006-08-18,130.69,10,1.94
SPY,2007-05-31,153.32,0.0,1533.2001,LONG,2007-06-14,152.86,10,-0.30
SPY,2007-06-27,150.4,0.0,0.0,SHORT,2007-07-12,154.39,10,-2.65
SPY,2007-10-22,150.54,0.0,0.0,SHORT,2007-11-05,150.05,10,0.33
SPY,2008-09-05,124.42,0.0,0.0,SHORT,2008-09-19,124.12,10,0.24
SPY,2008-09-16,122.1,0.0,0.0,SHORT,2008-09-30,115.99,10,5.00
SPY,2009-05-07,90.86,0.0,908.6,LONG,2009-05-21,89.21,10,-1.82
SPY,2009-09-11,104.77,0.0,1047.7,LONG,2009-09-25,104.45,10,-0.31
SPY,2010-05-25,107.82,0.0,0.0,SHORT,2010-06-09,106.05,10,1.64
SPY,2010-07-27,111.55,0.0,1115.5,LONG,2010-08-10,112.38,10,0.74
SPY,2011-03-11,130.84,0.0,0.0,SHORT,2011-03-25,131.3,10,-0.35
SPY,2011-10-04,112.34,0.0,0.0,SHORT,2011-10-18,122.58,10,-9.12
SPY,2012-02-15,134.56,0.0,1345.6,LONG,2012-03-01,137.73,10,2.36
SPY,2012-03-27,141.17,0.0,1411.7,LONG,2012-04-11,137.0,10,-2.95
SPY,2012-08-21,141.76,0.0,1417.6,LONG,2012-09-05,140.91,10,-0.60
SPY,2012-11-09,138.16,0.0,0.0,SHORT,2012-11-26,141.05,10,-2.09
SPY,2012-12-19,144.29,0.0,1442.8999,LONG,2013-01-04,146.37,10,1.44
SPY,2013-01-28,150.07,0.0,1500.7001,LONG,2013-02-11,151.77,10,1.13
SPY,2013-10-30,176.29,0.0,1762.8999,LONG,2013-11-13,178.38,10,1.19
SPY,2013-11-18,179.42,0.0,1794.2,LONG,2013-12-03,179.75,10,0.18
SPY,2013-11-25,180.63,0.0,1806.3,LONG,2013-12-10,180.75,10,0.07
SPY,2014-09-02,200.61,0.0,2006.1,LONG,2014-09-16,200.48,10,-0.06
SPY,2014-10-29,198.11,0.0,1981.1,LONG,2014-11-12,203.96,10,2.95
SPY,2015-01-16,201.63,0.0,0.0,SHORT,2015-02-02,201.92,10,-0.14
SPY,2016-02-26,195.09,0.0,1950.8999,LONG,2016-03-11,202.76,10,3.93
SPY,2016-05-31,209.84,0.0,2098.4,LONG,2016-06-14,208.04,10,-0.86
SPY,2016-08-08,218.05,0.0,2180.5,LONG,2016-08-22,218.53,10,0.22
SPY,2016-09-12,216.34,0.0,0.0,SHORT,2016-09-26,214.24,10,0.97
SPY,2016-11-18,218.5,0.0,2185.0,LONG,2016-12-05,221.0,10,1.14
SPY,2017-05-08,239.66,0.0,2396.6,LONG,2017-05-22,239.52,10,-0.06
SPY,2017-10-23,256.11,0.0,2561.0999,LONG,2017-11-06,258.85,10,1.07
SPY,2017-11-29,262.71,0.0,2627.0999,LONG,2017-12-13,266.75,10,1.54
EEM,2006-04-20,35.356667,0.0,353.56665,LONG,2006-05-04,36.15,10,2.24
EEM,2006-12-28,38.126667,0.0,381.26666,LONG,2007-01-16,37.433334,10,-1.82
EEM,2008-09-16,33.96,0.0,0.0,SHORT,2008-09-30,34.17,10,-0.62
EEM,2008-10-10,24.55,0.0,0.0,SHORT,2008-10-24,19.82,10,19.27
EEM,2009-03-19,24.23,0.0,242.29999,LONG,2009-04-02,27.02,10,11.51
EEM,2009-07-21,34.67,0.0,346.69998,LONG,2009-08-04,36.78,10,6.09
EEM,2010-01-11,43.11,0.0,431.1,LONG,2010-01-26,39.07,10,-9.37
EEM,2010-03-12,41.37,0.0,413.69998,LONG,2010-03-26,41.1,10,-0.65
EEM,2010-07-21,39.67,0.0,396.69998,LONG,2010-08-04,42.33,10,6.71
EEM,2010-07-27,41.36,0.0,413.6,LONG,2010-08-10,41.72,10,0.87
EEM,2011-10-04,34.89,0.0,0.0,SHORT,2011-10-18,39.27,10,-12.55
EEM,2012-02-29,44.33,0.0,443.30002,LONG,2012-03-14,43.79,10,-1.22
EEM,2012-08-21,40.39,0.0,403.9,LONG,2012-09-05,38.86,10,-3.79
EEM,2012-12-19,43.51,0.0,435.09998,LONG,2013-01-04,44.99,10,3.40
EEM,2013-06-06,40.9,0.0,0.0,SHORT,2013-06-20,36.88,10,9.83
EEM,2013-12-18,41.3,0.0,0.0,SHORT,2014-01-03,40.12,10,2.86
EEM,2014-04-04,41.3,0.0,413.0,LONG,2014-04-21,41.75,10,1.09
EEM,2014-07-15,44.2,0.0,442.0,LONG,2014-07-29,44.82,10,1.40
EEM,2014-07-29,44.82,0.0,448.2,LONG,2014-08-12,44.32,10,-1.12
EEM,2015-04-13,42.63,0.0,426.30002,LONG,2015-04-27,44.02,10,3.26
EEM,2016-09-12,36.96,0.0,0.0,SHORT,2016-09-26,37.08,10,-0.32
EEM,2017-02-16,38.55,0.0,385.5,LONG,2017-03-03,38.19,10,-0.93
XLF,2006-05-24,26.303818,0.0,0.0,SHORT,2006-06-08,26.645004,10,-1.30
XLF,2006-09-15,27.741673,0.0,277.41672,LONG,2006-09-29,28.123476,10,1.38
XLF,2006-10-05,28.659626,0.0,286.59625,LONG,2006-10-19,28.570269,10,-0.31
XLF,2006-12-21,29.821283,0.0,298.21283,LONG,2007-01-09,29.74005,10,-0.27
XLF,2007-01-25,29.853777,0.0,298.53778,LONG,2007-02-08,30.519903,10,2.23
XLF,2007-05-31,30.787977,0.0,307.87976,LONG,2007-06-14,30.479284,10,-1.00
XLF,2007-10-22,26.807474,0.0,0.0,SHORT,2007-11-05,25.402113,10,5.24
XLF,2008-09-16,16.669374,0.0,0.0,SHORT,2008-09-30,16.157595,10,3.07
XLF,2008-10-10,12.26645,0.0,0.0,SHORT,2008-10-24,11.007311,10,10.26
XLF,2009-03-19,7.034931,0.0,70.34931,LONG,2009-04-02,7.562957,10,7.51
XLF,2009-07-06,9.325751,0.0,0.0,SHORT,2009-07-20,9.943135,10,-6.62
XLF,2009-09-23,12.209586,0.0,122.09586,LONG,2009-10-07,12.258327,10,0.40
XLF,2009-10-02,11.608448,0.0,0.0,SHORT,2009-10-16,12.363932,10,-6.51
XLF,2010-03-12,12.623883,0.0,126.23883,LONG,2010-03-26,12.997563,10,2.96
XLF,2010-04-15,13.793664,0.0,137.93665,LONG,2010-04-29,13.452477,10,-2.47
XLF,2010-05-21,11.982128,0.0,0.0,SHORT,2010-06-07,11.267262,10,5.97
XLF,2010-05-25,11.746548,0.0,0.0,SHORT,2010-06-09,11.380991,10,3.11
XLF,2010-11-29,11.811535,0.0,0.0,SHORT,2010-12-13,12.794477,10,-8.32
XLF,2010-12-13,12.794477,0.0,127.94478,LONG,2010-12-28,13.005687,10,1.65
XLF,2011-01-13,13.371243,0.0,133.71243,LONG,2011-01-28,13.20065,10,-1.28
XLF,2011-10-04,9.528838,0.0,0.0,SHORT,2011-10-18,10.389927,10,-9.04
XLF,2012-02-09,11.949635,0.0,119.496346,LONG,2012-02-24,11.917141,10,-0.27
XLF,2012-11-09,12.591389,0.0,0.0,SHORT,2012-11-26,12.818847,10,-1.81
XLF,2012-12-19,13.379366,0.0,133.79366,LONG,2013-01-04,13.850528,10,3.52
XLF,2013-01-28,14.13485,0.0,141.3485,LONG,2013-02-11,14.362307,10,1.61
XLF,2013-02-07,14.264826,0.0,142.64825,LONG,2013-02-22,14.411048,10,1.03
XLF,2013-02-13,14.443542,0.0,144.43541,LONG,2013-02-28,14.289196,10,-1.07
XLF,2013-02-15,14.427295,0.0,144.27295,LONG,2013-03-04,14.451665,10,0.17
XLF,2013-07-23,16.888708,0.0,168.88708,LONG,2013-08-06,16.718115,10,-1.01
XLF,2014-11-11,19.658813,0.0,196.58813,LONG,2014-11-25,19.780666,10,0.62
XLF,2016-05-31,19.293257,0.0,192.93257,LONG,2016-06-14,18.407799,10,-4.59
XLF,2016-06-16,18.48091,0.0,0.0,SHORT,2016-06-30,18.570269,10,-0.48
XLF,2016-09-01,19.870024,0.0,198.70024,LONG,2016-09-16,19.187653,10,-3.43
XLF,2016-09-12,19.748173,0.0,0.0,SHORT,2016-09-26,19.07,10,3.43
XLF,2017-08-18,24.62,0.0,0.0,SHORT,2017-09-01,24.77,10,-0.61
VXX,2009-05-15,85432.32,0.0,0.0,SHORT,2009-06-01,76185.6,10,10.82
VXX,2009-09-11,54056.96,0.0,0.0,SHORT,2009-09-25,52162.56,10,3.50
VXX,2009-10-23,43335.68,0.0,0.0,SHORT,2009-11-06,45701.12,10,-5.46
VXX,2010-04-01,21524.48,0.0,0.0,SHORT,2010-04-16,20449.28,10,5.00
VXX,2011-10-04,13529.6,0.0,135296.0,LONG,2011-10-18,11008.0,10,-18.64
VXX,2011-12-22,8660.48,0.0,0.0,SHORT,2012-01-09,8012.8,10,7.48
VXX,2012-02-24,6412.8,0.0,0.0,SHORT,2012-03-09,5975.04,10,6.83
VXX,2012-06-11,5107.2,0.0,0.0,SHORT,2012-06-25,4387.84,10,14.09
VXX,2012-08-21,2944.0,0.0,0.0,SHORT,2012-09-05,2846.72,10,3.30
VXX,2012-09-14,2350.08,0.0,0.0,SHORT,2012-09-28,2304.0,10,1.96
VXX,2012-11-27,1943.04,0.0,0.0,SHORT,2012-12-11,1847.04,10,4.94
VXX,2012-12-12,1892.48,0.0,0.0,SHORT,2012-12-27,2157.44,10,-14.00
VXX,2013-04-03,1304.96,0.0,0.0,SHORT,2013-04-17,1348.48,10,-3.33
VXX,2013-11-07,812.8,0.0,0.0,SHORT,2013-11-21,721.92,10,11.18
VXX,2013-11-25,713.44,0.0,0.0,SHORT,2013-12-10,720.0,10,-0.92
VXX,2014-04-04,669.44,0.0,0.0,SHORT,2014-04-21,655.04,10,2.15
VXX,2014-05-08,625.92,0.0,0.0,SHORT,2014-05-22,563.84,10,9.92
VXX,2014-06-09,491.84,0.0,0.0,SHORT,2014-06-23,461.28,10,6.21
VXX,2014-06-19,466.72,0.0,0.0,SHORT,2014-07-03,434.72,10,6.86
VXX,2014-09-19,435.68,0.0,0.0,SHORT,2014-10-03,473.92,10,-8.78
VXX,2014-12-17,497.44,0.0,4974.4,LONG,2015-01-02,495.84,10,-0.32
VXX,2015-04-13,362.56,0.0,0.0,SHORT,2015-04-27,343.2,10,5.34
VXX,2015-05-04,333.12,0.0,0.0,SHORT,2015-05-18,310.72,10,6.72
VXX,2015-10-23,298.08,0.0,0.0,SHORT,2015-11-06,288.64,10,3.17
VXX,2016-04-19,256.48,0.0,0.0,SHORT,2016-05-03,264.32,10,-3.06
VXX,2016-09-12,145.12,0.0,1451.2,LONG,2016-09-26,142.48,10,-1.82
VXX,2017-01-13,85.8,0.0,0.0,SHORT,2017-01-30,78.0,10,9.09
VXX,2017-10-09,37.89,0.0,0.0,SHORT,2017-10-23,34.85,10,8.02
VXX,2017-12-12,29.38,0.0,0.0,SHORT,2017-12-27,27.9,10,5.04
GDX,2006-07-12,39.49,0.0,394.90002,LONG,2006-07-26,38.36,10,-2.86
GDX,2006-08-23,40.38,0.0,403.80002,LONG,2006-09-07,40.3,10,-0.20
GDX,2006-10-26,37.27,0.0,372.7,LONG,2006-11-09,39.9,10,7.06
GDX,2007-02-09,40.11,0.0,401.1,LONG,2007-02-26,42.35,10,5.58
GDX,2007-05-30,37.99,0.0,0.0,SHORT,2007-06-13,37.99,10,0.00
GDX,2007-06-08,38.29,0.0,0.0,SHORT,2007-06-22,38.79,10,-1.31
GDX,2007-09-21,45.48,0.0,454.8,LONG,2007-10-05,45.59,10,0.24
GDX,2007-11-05,50.44,0.0,504.4,LONG,2007-11-19,45.45,10,-9.89
GDX,2008-02-21,50.79,0.0,507.90002,LONG,2008-03-06,54.78,10,7.86
GDX,2008-06-05,45.79,0.0,0.0,SHORT,2008-06-19,44.05,10,3.80
GDX,2008-07-15,49.6,0.0,496.0,LONG,2008-07-29,43.67,10,-11.96
GDX,2008-12-17,32.11,0.0,321.1,LONG,2009-01-02,33.32,10,3.77
GDX,2009-05-05,34.78,0.0,347.8,LONG,2009-05-19,38.43,10,10.49
GDX,2009-05-07,36.55,0.0,365.5,LONG,2009-05-21,41.24,10,12.83
GDX,2009-07-21,39.74,0.0,397.40002,LONG,2009-08-04,41.08,10,3.37
GDX,2009-11-18,50.99,0.0,509.90002,LONG,2009-12-03,53.53,10,4.98
GDX,2010-01-22,43.79,0.0,0.0,SHORT,2010-02-05,42.41,10,3.15
GDX,2010-09-29,56.51,0.0,565.1,LONG,2010-10-13,58.59,10,3.68
GDX,2010-11-09,59.67,0.0,596.69995,LONG,2010-11-23,59.62,10,-0.08
GDX,2010-12-07,62.38,0.0,623.8,LONG,2010-12-21,60.55,10,-2.93
GDX,2011-03-24,59.99,0.0,599.9,LONG,2011-04-07,62.51,10,4.20
GDX,2011-12-29,51.2,0.0,0.0,SHORT,2012-01-13,54.05,10,-5.57
GDX,2012-03-20,49.86,0.0,0.0,SHORT,2012-04-03,48.75,10,2.23
GDX,2012-08-13,44.24,0.0,442.40002,LONG,2012-08-27,46.9,10,6.01
GDX,2012-08-17,45.34,0.0,453.4,LONG,2012-08-31,47.94,10,5.73
GDX,2012-08-23,47.42,0.0,474.19998,LONG,2012-09-07,50.46,10,6.41
GDX,2012-10-19,51.73,0.0,0.0,SHORT,2012-11-06,50.34,10,2.69
GDX,2013-03-06,37.44,0.0,0.0,SHORT,2013-03-20,37.45,10,-0.03
GDX,2013-05-16,27.48,0.0,0.0,SHORT,2013-05-31,29.5,10,-7.35
GDX,2013-05-20,28.02,0.0,0.0,SHORT,2013-06-04,29.84,10,-6.50
GDX,2013-08-16,29.79,0.0,297.90002,LONG,2013-08-30,28.13,10,-5.57
GDX,2013-09-13,25.63,0.0,0.0,SHORT,2013-09-27,25.17,10,1.79
GDX,2014-03-20,25.47,0.0,0.0,SHORT,2014-04-03,24.07,10,5.50
GDX,2014-03-27,23.82,0.0,0.0,SHORT,2014-04-10,24.57,10,-3.15
GDX,2014-06-16,23.98,0.0,239.79999,LONG,2014-06-30,26.45,10,10.30
GDX,2014-06-24,25.47,0.0,254.7,LONG,2014-07-09,27.15,10,6.60
GDX,2014-09-25,22.35,0.0,0.0,SHORT,2014-10-09,21.22,10,5.06
GDX,2014-10-23,20.56,0.0,0.0,SHORT,2014-11-06,17.21,10,16.29
GDX,2015-02-23,20.54,0.0,0.0,SHORT,2015-03-09,17.91,10,12.80
GDX,2015-04-16,19.74,0.0,197.4,LONG,2015-04-30,20.11,10,1.87
GDX,2015-10-12,15.78,0.0,157.8,LONG,2015-10-26,16.01,10,1.46
GDX,2015-11-02,15.02,0.0,0.0,SHORT,2015-11-16,13.74,10,8.52
GDX,2016-03-17,20.43,0.0,204.3,LONG,2016-04-01,20.12,10,-1.52
GDX,2016-05-02,25.39,0.0,253.9,LONG,2016-05-16,25.24,10,-0.59
GDX,2016-05-25,23.03,0.0,0.0,SHORT,2016-06-09,26.33,10,-14.33
GDX,2016-11-14,21.12,0.0,0.0,SHORT,2016-11-29,21.23,10,-0.52
GDX,2017-04-13,24.54,0.0,245.40001,LONG,2017-04-28,22.23,10,-9.41
GDX,2017-07-05,21.76,0.0,0.0,SHORT,2017-07-19,22.18,10,-1.93
GDX,2017-10-02,23.05,0.0,0.0,SHORT,2017-10-16,23.46,10,-1.78
IWM,2006-03-16,73.77,0.0,737.69995,LONG,2006-03-30,75.7,10,2.62
IWM,2006-03-30,75.7,0.0,757.0,LONG,2006-04-13,74.56,10,-1.51
IWM,2006-04-03,75.34,0.0,753.39996,LONG,2006-04-18,76.7,10,1.81
IWM,2006-04-07,75.01,0.0,750.10004,LONG,2006-04-24,76.07,10,1.41
IWM,2006-06-08,70.16,0.0,0.0,SHORT,2006-06-22,68.24,10,2.74
IWM,2006-08-04,69.62,0.0,696.2,LONG,2006-08-18,70.94,10,1.90
IWM,2007-10-22,80.76,0.0,0.0,SHORT,2007-11-05,78.48,10,2.82
IWM,2008-01-09,70.73,0.0,0.0,SHORT,2008-01-24,68.97,10,2.49
IWM,2008-09-16,71.0,0.0,0.0,SHORT,2008-09-30,68.0,10,4.23
IWM,2008-10-10,52.45,0.0,0.0,SHORT,2008-10-24,47.17,10,10.07
IWM,2010-01-11,64.26,0.0,642.60004,LONG,2010-01-26,61.19,10,-4.78
IWM,2010-01-27,61.84,0.0,0.0,SHORT,2010-02-10,59.63,10,3.57
IWM,2010-05-21,65.07,0.0,0.0,SHORT,2010-06-07,61.92,10,4.84
IWM,2010-07-27,66.22,0.0,662.2,LONG,2010-08-10,64.62,10,-2.42
IWM,2010-08-20,61.15,0.0,0.0,SHORT,2010-09-03,64.33,10,-5.20
IWM,2011-10-04,64.79,0.0,0.0,SHORT,2011-10-18,70.81,10,-9.29
IWM,2012-02-17,82.79,0.0,827.9,LONG,2012-03-05,80.34,10,-2.96
IWM,2012-07-05,81.44,0.0,814.4,LONG,2012-07-19,79.95,10,-1.83
IWM,2012-11-09,79.38,0.0,0.0,SHORT,2012-11-26,80.73,10,-1.70
IWM,2013-02-20,90.83,0.0,908.30005,LONG,2013-03-06,92.43,10,1.76
IWM,2013-10-21,110.47,0.0,1104.7,LONG,2013-11-04,109.97,10,-0.45
IWM,2014-06-23,118.02,0.0,1180.2,LONG,2014-07-08,116.34,10,-1.42
IWM,2014-09-24,112.02,0.0,0.0,SHORT,2014-10-08,108.97,10,2.72
IWM,2014-10-08,108.97,0.0,0.0,SHORT,2014-10-22,108.95,10,0.02
IWM,2014-10-29,113.9,0.0,1139.0,LONG,2014-11-12,117.9,10,3.51
IWM,2016-09-12,122.94,0.0,0.0,SHORT,2016-09-26,123.23,10,-0.24
IWM,2017-03-22,134.0,0.0,0.0,SHORT,2017-04-05,134.33,10,-0.25
IWM,2017-05-18,135.38,0.0,0.0,SHORT,2017-06-02,139.85,10,-3.30
IWM,2017-08-11,136.47,0.0,0.0,SHORT,2017-08-25,136.88,10,-0.30
SVXY,2011-12-22,6.8725,0.0,68.725,LONG,2012-01-09,7.37,10,7.24
SVXY,2012-01-26,8.5625,0.0,85.625,LONG,2012-02-09,8.82375,10,3.05
SVXY,2012-08-21,13.96,0.0,139.6,LONG,2012-09-05,14.30875,10,2.50
SVXY,2012-09-14,16.8325,0.0,168.32501,LONG,2012-09-28,16.8425,10,0.06
SVXY,2012-11-27,18.5575,0.0,185.57501,LONG,2012-12-11,19.3425,10,4.23
SVXY,2012-12-12,18.8625,0.0,188.625,LONG,2012-12-27,16.3025,10,-13.57
SVXY,2013-04-03,22.6525,0.0,226.525,LONG,2013-04-17,20.61,10,-9.02
SVXY,2013-08-28,23.76,0.0,0.0,SHORT,2013-09-12,26.5,10,-11.53
SVXY,2013-11-07,28.8975,0.0,288.97498,LONG,2013-11-21,32.4075,10,12.15
SVXY,2013-11-18,31.09,0.0,310.9,LONG,2013-12-03,31.0525,10,-0.12
SVXY,2013-11-25,32.715,0.0,327.15,LONG,2013-12-10,32.3125,10,-1.23
SVXY,2014-04-04,31.18,0.0,311.8,LONG,2014-04-21,31.59,10,1.31
SVXY,2014-05-08,32.945,0.0,329.45,LONG,2014-05-22,36.475,10,10.71
SVXY,2014-06-09,41.5,0.0,415.0,LONG,2014-06-23,43.86,10,5.69
SVXY,2014-06-19,43.415,0.0,434.15002,LONG,2014-07-03,46.35,10,6.76
SVXY,2014-09-19,43.57,0.0,435.7,LONG,2014-10-03,39.21,10,-10.01
SVXY,2014-10-08,38.72,0.0,0.0,SHORT,2014-10-22,29.52,10,23.76
SVXY,2014-12-17,31.415,0.0,0.0,SHORT,2015-01-02,31.135,10,0.89
SVXY,2015-04-13,37.955,0.0,379.55002,LONG,2015-04-27,39.96,10,5.28
SVXY,2016-04-19,27.075,0.0,270.75,LONG,2016-05-03,25.905,10,-4.32
SVXY,2016-06-14,25.06,0.0,0.0,SHORT,2016-06-28,22.715,10,9.36
SVXY,2016-09-12,35.35,0.0,0.0,SHORT,2016-09-26,35.09,10,0.74
SVXY,2017-01-13,53.6,0.0,536.0,LONG,2017-01-30,58.655,10,9.43
SVXY,2017-10-09,96.94,0.0,969.4,LONG,2017-10-23,104.88,10,8.19
SVXY,2017-12-12,122.28,0.0,1222.8,LONG,2017-12-27,128.39,10,5.00
EFA,2006-05-08,70.16,0.0,701.60004,LONG,2006-05-22,64.57,10,-7.97
EFA,2008-03-20,69.46,0.0,0.0,SHORT,2008-04-04,74.8,10,-7.69
EFA,2008-05-19,78.2,0.0,782.0,LONG,2008-06-03,75.75,10,-3.13
EFA,2009-03-19,37.35,0.0,373.5,LONG,2009-04-02,40.31,10,7.93
EFA,2009-09-11,54.61,0.0,546.1,LONG,2009-09-25,54.25,10,-0.66
EFA,2010-10-07,56.5,0.0,565.0,LONG,2010-10-21,57.14,10,1.13
EFA,2011-10-04,47.3,0.0,0.0,SHORT,2011-10-18,51.65,10,-9.20
EFA,2012-02-29,54.66,0.0,546.6,LONG,2012-03-14,54.61,10,-0.09
EFA,2012-11-09,52.8,0.0,0.0,SHORT,2012-11-26,54.41,10,-3.05
EFA,2013-08-06,61.45,0.0,614.5,LONG,2013-08-20,61.17,10,-0.46
EFA,2016-09-12,59.01,0.0,0.0,SHORT,2016-09-26,58.71,10,0.51
EFA,2017-11-29,70.04,0.0,700.4,LONG,2017-12-13,70.38,10,0.49
JNK,2008-02-01,46.69,0.0,466.9,LONG,2008-02-15,45.15,10,-3.30
JNK,2009-10-23,38.66,0.0,386.6,LONG,2009-11-06,37.88,10,-2.02
JNK,2010-03-23,39.56,0.0,395.6,LONG,2010-04-07,39.5,10,-0.15
JNK,2010-10-21,40.39,0.0,403.9,LONG,2010-11-04,41.25,10,2.13
JNK,2011-04-25,40.67,0.0,406.69998,LONG,2011-05-09,40.71,10,0.10
JNK,2011-07-22,40.44,0.0,404.4,LONG,2011-08-05,38.34,10,-5.19
JNK,2012-08-27,39.98,0.0,399.8,LONG,2012-09-11,40.38,10,1.00
JNK,2013-04-05,40.9,0.0,0.0,SHORT,2013-04-19,41.11,10,-0.51
JNK,2013-05-07,41.79,0.0,417.90002,LONG,2013-05-21,41.66,10,-0.31
JNK,2014-04-29,41.32,0.0,413.2,LONG,2014-05-13,41.38,10,0.15
JNK,2014-10-22,40.25,0.0,402.5,LONG,2014-11-05,40.08,10,-0.42
JNK,2015-02-17,39.41,0.0,394.1,LONG,2015-03-03,39.46,10,0.13
JNK,2016-09-12,36.27,0.0,0.0,SHORT,2016-09-26,36.35,10,-0.22
XLE,2006-03-10,51.39,0.0,0.0,SHORT,2006-03-24,53.86,10,-4.81
XLE,2006-03-30,55.17,0.0,551.69995,LONG,2006-04-13,55.81,10,1.16
XLE,2006-05-11,58.73,0.0,587.3,LONG,2006-05-25,54.92,10,-6.49
XLE,2006-05-19,54.02,0.0,0.0,SHORT,2006-06-05,54.75,10,-1.35
XLE,2006-06-08,53.34,0.0,0.0,SHORT,2006-06-22,52.22,10,2.10
XLE,2006-09-07,55.35,0.0,0.0,SHORT,2006-09-21,51.55,10,6.87
XLE,2006-10-20,54.7,0.0,547.0,LONG,2006-11-03,56.6,10,3.47
XLE,2007-03-28,60.74,0.0,607.4,LONG,2007-04-12,63.02,10,3.75
XLE,2007-05-31,68.3,0.0,683.0,LONG,2007-06-14,70.11,10,2.65
XLE,2007-08-06,66.5,0.0,0.0,SHORT,2007-08-20,67.35,10,-1.28
XLE,2007-10-11,76.45,0.0,764.5,LONG,2007-10-25,75.8,10,-0.85
XLE,2008-02-14,72.72,0.0,727.2,LONG,2008-02-29,76.05,10,4.58
XLE,2008-03-20,70.81,0.0,0.0,SHORT,2008-04-04,77.31,10,-9.18
XLE,2008-09-16,66.34,0.0,0.0,SHORT,2008-09-30,63.3,10,4.58
XLE,2008-10-08,52.86,0.0,0.0,SHORT,2008-10-22,44.2,10,16.38
XLE,2009-07-08,44.53,0.0,0.0,SHORT,2009-07-22,49.26,10,-10.62
XLE,2010-01-11,60.22,0.0,602.2,LONG,2010-01-26,56.31,10,-6.49
XLE,2010-04-26,61.88,0.0,618.8,LONG,2010-05-10,57.34,10,-7.34
XLE,2010-05-25,51.98,0.0,0.0,SHORT,2010-06-09,51.41,10,1.10
XLE,2011-01-13,69.89,0.0,698.9,LONG,2011-01-28,71.11,10,1.75
XLE,2011-01-19,70.23,0.0,702.30005,LONG,2011-02-02,74.28,10,5.77
XLE,2011-07-20,77.8,0.0,778.0,LONG,2011-08-03,73.79,10,-5.15
XLE,2011-10-04,58.37,0.0,0.0,SHORT,2011-10-18,67.49,10,-15.62
XLE,2012-02-08,73.77,0.0,737.69995,LONG,2012-02-23,75.93,10,2.93
XLE,2012-12-31,71.42,0.0,0.0,SHORT,2013-01-15,73.95,10,-3.54
XLE,2013-11-18,86.99,0.0,869.89996,LONG,2013-12-03,86.71,10,-0.32
XLE,2014-09-24,92.22,0.0,0.0,SHORT,2014-10-08,87.97,10,4.61
XLE,2014-10-08,87.97,0.0,0.0,SHORT,2014-10-22,84.33,10,4.14
XLE,2014-12-01,80.1,0.0,0.0,SHORT,2014-12-15,73.36,10,8.41
XLE,2014-12-16,74.01,0.0,0.0,SHORT,2014-12-31,79.16,10,-6.96
XLE,2015-04-30,82.68,0.0,826.8,LONG,2015-05-14,80.35,10,-2.82
XLE,2015-05-15,80.67,0.0,0.0,SHORT,2015-06-01,78.19,10,3.07
XLE,2015-06-05,77.67,0.0,0.0,SHORT,2015-06-19,75.9,10,2.28
XLE,2015-06-26,76.02,0.0,0.0,SHORT,2015-07-13,73.98,10,2.68
XLE,2015-08-06,68.28,0.0,0.0,SHORT,2015-08-20,65.8,10,3.63
XLE,2015-09-24,62.25,0.0,0.0,SHORT,2015-10-08,69.39,10,-11.47
XLE,2015-12-14,60.78,0.0,0.0,SHORT,2015-12-29,60.87,10,-0.15
XLE,2016-02-04,57.27,0.0,572.7,LONG,2016-02-19,56.81,10,-0.80
XLE,2017-03-09,70.11,0.0,0.0,SHORT,2017-03-23,68.83,10,1.83
XLE,2017-04-05,70.07,0.0,700.7,LONG,2017-04-20,68.13,10,-2.77
XLE,2017-07-20,65.76,0.0,657.60004,LONG,2017-08-03,65.43,10,-0.50
XLE,2017-08-18,62.32,0.0,0.0,SHORT,2017-09-01,63.58,10,-2.02
XLE,2017-11-07,70.16,0.0,701.60004,LONG,2017-11-21,67.42,10,-3.91
VWO,2006-04-06,35.09,0.0,350.9,LONG,2006-04-21,36.325,10,3.52
VWO,2006-08-17,33.73,0.0,337.3,LONG,2006-08-31,33.22,10,-1.51
VWO,2007-02-15,39.89,0.0,398.9,LONG,2007-03-02,36.6,10,-8.25
VWO,2007-03-22,39.29,0.0,392.90002,LONG,2007-04-05,40.62,10,3.39
VWO,2007-06-20,45.735,0.0,457.35,LONG,2007-07-05,47.46,10,3.77
VWO,2007-09-28,51.89,0.0,518.9,LONG,2007-10-12,55.825,10,7.58
VWO,2007-10-02,53.7,0.0,537.0,LONG,2007-10-16,54.225,10,0.98
VWO,2007-10-22,54.0,0.0,0.0,SHORT,2007-11-05,55.5,10,-2.78
VWO,2008-02-21,48.42,0.0,484.19998,LONG,2008-03-06,47.615,10,-1.66
VWO,2008-04-28,51.02,0.0,510.2,LONG,2008-05-12,51.45,10,0.84
VWO,2009-07-21,34.12,0.0,341.19998,LONG,2009-08-04,36.35,10,6.54
VWO,2009-09-11,37.5,0.0,375.0,LONG,2009-09-25,37.93,10,1.15
VWO,2010-03-08,41.05,0.0,410.5,LONG,2010-03-22,41.39,10,0.83
VWO,2010-07-21,40.27,0.0,402.7,LONG,2010-08-04,42.89,10,6.51
VWO,2010-07-27,41.81,0.0,418.1,LONG,2010-08-10,42.28,10,1.12
